sku,external_id,origen,marca,producto,variante,capacidad_ml,envase,units_per_pack,sold_as_pack,alcohol,disponible,precio,image_status,source_status,confidence,fuente_tipo,fuente_titulo,fuente_url
andes-origen-roja-lata-473ml,andes-origen-roja-lata-473ml,gondola-neuquen,Andes Origen,Andes Origen Roja,Roja,473,lata,1,false,true,false,2650,SIN_IMAGEN,SIN_FUENTE,,,,
andes-origen-rubia-lata-473ml,andes-origen-rubia-lata-473ml,gondola-neuquen,Andes Origen,Andes Origen Rubia,Rubia,473,lata,1,false,true,false,2650,SIN_IMAGEN,SIN_FUENTE,,,,
andes-origen-rubia-lata-473ml-pack-6,andes-origen-rubia-lata-473ml-pack-6,gondola-retail-final,Andes Origen,Andes Origen Rubia,Rubia,473,lata,6,true,true,false,23390,SIN_IMAGEN,SIN_FUENTE,,,,
aquarius-manzana-1500ml,aquarius-manzana-1500ml,produccion,Aquarius,Aquarius Manzana,Manzana,1500,botella-pet,1,false,false,true,1800,SIN_IMAGEN,SIN_CANDIDATO,,,,
aquarius-pera-1500ml,aquarius-pera-1500ml,produccion,Aquarius,Aquarius Pera,Pera,1500,botella-pet,1,false,false,true,1800,SIN_IMAGEN,SIN_CANDIDATO,,,,
aquarius-pomelo-2250ml,aquarius-pomelo-2250ml,produccion,Aquarius,Aquarius Pomelo,Pomelo,2250,botella-pet,1,false,false,true,2650,SIN_IMAGEN,SIN_CANDIDATO,,,,
benedictino-sin-gas-2250ml,benedictino-sin-gas-2250ml,produccion,Benedictino,Benedictino,Sin gas,2250,botella-pet,1,false,false,true,2250,SIN_IMAGEN,SIN_CANDIDATO,,,,
brahma-chopp-lata-473ml-pack-6,brahma-chopp-lata-473ml-pack-6,gondola-retail-final,Brahma,Brahma Chopp,Rubia,473,lata,6,true,true,false,14990,SIN_IMAGEN,SIN_FUENTE,,,,
brahma-chopp-lata-710ml,brahma-chopp-lata-710ml,gondola-neuquen,Brahma,Brahma Chopp,Rubia,710,lata,1,false,true,false,3000,SIN_IMAGEN,SIN_FUENTE,,,,
budweiser-lata-473ml,budweiser-lata-473ml,gondola-neuquen,Budweiser,Budweiser,Lager,473,lata,1,false,true,false,2350,SIN_IMAGEN,SIN_FUENTE,,,,
budweiser-lata-473ml-pack-6,budweiser-lata-473ml-pack-6,gondola-retail-final,Budweiser,Budweiser,Lager,473,lata,6,true,true,false,19990,SIN_IMAGEN,SIN_FUENTE,,,,
cafayate-torrontes-750ml,cafayate-torrontes-750ml,gondola-neuquen,Cafayate,Cafayate Torrontés,Torrontés,750,botella,1,false,true,false,5400,SIN_IMAGEN,SIN_CANDIDATO,,,,
cepita-durazno-pet-1500ml,cepita-durazno-pet-1500ml,gondola-retail-final,Cepita,Cepita Durazno,Durazno,1500,botella-pet,1,false,false,false,4490,SIN_IMAGEN,SIN_CANDIDATO,,,,
cepita-naranja-pet-1500ml,cepita-naranja-pet-1500ml,gondola-retail-final,Cepita,Cepita Naranja,Naranja,1500,botella-pet,1,false,false,false,4490,SIN_IMAGEN,SIN_CANDIDATO,,,,
coca-cola-original-2250ml,coca-cola-original-2250ml,produccion,Coca-Cola,Coca-Cola,Original,2250,botella-pet,1,false,false,true,5900,SIN_IMAGEN,SIN_CANDIDATO,,,,
coca-cola-original-botella-pet-500-ml-pack-x12,coca-cola-original-botella-pet-500-ml-pack-x12,produccion,Coca-Cola,Coca-Cola Original,Botella PET · 500 ml · Pack x12,500,botella-pet,12,true,false,true,17100,PUBLICADA,HIGH,HIGH,fabricante,Coca–Cola Original 500ml x12,https://tienda.coca-cola.com.ar/coca-cola-original-500ml-12-100116/p
