sku,gondola,brand,name,presentation,blocked_field,blocking_reason,evidence,next_action
"coca-cola-original-pet-500ml-pack-12","Gaseosas","Coca-Cola","Coca-Cola Original","Botella PET · 500 ml · Pack x12","image_rights_status+publication_status","Pack de abastecimiento: la góndola publica unidades de venta minorista, así que este registro no llega al cliente ni se puede pedir. Existe para el abastecimiento del local.","No publicable: la fuente heredada es de retailer y sus derechos de uso comercial están pendientes.","Publicar la unidad minorista equivalente, o dejarlo sólo como registro de compra."
"coca-cola-zero-pet-500ml-pack-12","Gaseosas","Coca-Cola","Coca-Cola Zero","Botella PET · 500 ml · Pack x12","image_rights_status+publication_status","Pack de abastecimiento: la góndola publica unidades de venta minorista, así que este registro no llega al cliente ni se puede pedir. Existe para el abastecimiento del local.","No publicable: la fuente heredada es de retailer y sus derechos de uso comercial están pendientes.","Publicar la unidad minorista equivalente, o dejarlo sólo como registro de compra."
"sprite-original-pet-500ml-pack-12","Gaseosas","Sprite","Sprite","Botella PET · 500 ml · Pack x12","image_rights_status+publication_status","Pack de abastecimiento: la góndola publica unidades de venta minorista, así que este registro no llega al cliente ni se puede pedir. Existe para el abastecimiento del local.","No publicable: la fuente heredada es de retailer y sus derechos de uso comercial están pendientes.","Publicar la unidad minorista equivalente, o dejarlo sólo como registro de compra."
"coca-cola-original-pet-1500ml-pack-6","Gaseosas","Coca-Cola","Coca-Cola Original","Botella PET · 1500 ml · Pack x6","image_rights_status+publication_status","Pack de abastecimiento: la góndola publica unidades de venta minorista, así que este registro no llega al cliente ni se puede pedir. Existe para el abastecimiento del local.","No publicable: la fuente heredada es de retailer y sus derechos de uso comercial están pendientes.","Publicar la unidad minorista equivalente, o dejarlo sólo como registro de compra."
"coca-cola-zero-pet-1500ml-pack-6","Gaseosas","Coca-Cola","Coca-Cola Zero","Botella PET · 1500 ml · Pack x6","image_rights_status+publication_status","Pack de abastecimiento: la góndola publica unidades de venta minorista, así que este registro no llega al cliente ni se puede pedir. Existe para el abastecimiento del local.","No publicable: la fuente heredada es de retailer y sus derechos de uso comercial están pendientes.","Publicar la unidad minorista equivalente, o dejarlo sólo como registro de compra."
"sprite-original-pet-1500ml-pack-6","Gaseosas","Sprite","Sprite","Botella PET · 1500 ml · Pack x6","image_rights_status+publication_status","Pack de abastecimiento: la góndola publica unidades de venta minorista, así que este registro no llega al cliente ni se puede pedir. Existe para el abastecimiento del local.","No publicable: la fuente heredada es de retailer y sus derechos de uso comercial están pendientes.","Publicar la unidad minorista equivalente, o dejarlo sólo como registro de compra."
"fanta-naranja-pet-1500ml-pack-6","Gaseosas","Fanta","Fanta Naranja","Botella PET · 1500 ml · Pack x6","image_rights_status+publication_status","Pack de abastecimiento: la góndola publica unidades de venta minorista, así que este registro no llega al cliente ni se puede pedir. Existe para el abastecimiento del local.","No publicable: la fuente heredada es de retailer y sus derechos de uso comercial están pendientes.","Publicar la unidad minorista equivalente, o dejarlo sólo como registro de compra."
"schweppes-tonica-pet-1500ml-pack-6","Mixers","Schweppes","Schweppes Tónica","Botella PET · 1500 ml · Pack x6","image_rights_status+publication_status","Pack de abastecimiento: la góndola publica unidades de venta minorista, así que este registro no llega al cliente ni se puede pedir. Existe para el abastecimiento del local.","No publicable: la fuente heredada es de retailer y sus derechos de uso comercial están pendientes.","Publicar la unidad minorista equivalente, o dejarlo sólo como registro de compra."
"schweppes-citrus-pet-1500ml-pack-6","Mixers","Schweppes","Schweppes Citrus","Botella PET · 1500 ml · Pack x6","image_rights_status+publication_status","Pack de abastecimiento: la góndola publica unidades de venta minorista, así que este registro no llega al cliente ni se puede pedir. Existe para el abastecimiento del local.","No publicable: la fuente heredada es de retailer y sus derechos de uso comercial están pendientes.","Publicar la unidad minorista equivalente, o dejarlo sólo como registro de compra."
"red-bull-original-lata-250ml-pack-4","Energizantes","Red Bull","Red Bull Energy Drink","Lata · 250 ml · Pack x4","price+image_rights_status+publication_status","Pack de abastecimiento: la góndola publica unidades de venta minorista, así que este registro no llega al cliente ni se puede pedir. Existe para el abastecimiento del local.","No publicable: la fuente heredada es de retailer y sus derechos de uso comercial están pendientes.","Publicar la unidad minorista equivalente, o dejarlo sólo como registro de compra."
"heineken-original-lata-473ml-pack-6","Cervezas","Heineken","Heineken","Lata · 473 ml · Pack x6","catalog_status+price+image_rights_status+publication_status","Rechazado: comparte contenido SHA-256 con la lata individual; no hay pack x6 verificable.","Rechazado: comparte contenido SHA-256 con la lata individual; no hay pack x6 verificable.","Conseguir un packshot frontal verificable o dar de baja el SKU."
"coca-cola-original-2250ml","Gaseosas","Coca-Cola","Coca-Cola Sabor Original","Botella PET · 2,25 L · Unidad","price+image_rights_status+publication_status","No aprobado: La revisión visual encontró tabla nutricional, no frente de producto.","https://www.jumbo.com.ar/gaseosa-coca-cola-sabor-original-2-25-l/p","Conseguir un packshot frontal verificable de la presentación declarada."
"coca-cola-sin-azucar-2250ml","Gaseosas","Coca-Cola","Coca-Cola Sin Azúcar","Botella PET · 2,25 L · Unidad","price+image_rights_status+publication_status","No aprobado: La revisión visual encontró tabla nutricional, no frente de producto.","https://www.jumbo.com.ar/coca-cola-zero-2-25-lt/p","Conseguir un packshot frontal verificable de la presentación declarada."
"sprite-sin-azucar-600ml","Gaseosas","Sprite","Sprite","Botella PET · 600 ml · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/gaseosa-zero-lima-limon-600-ml-sprite/p","El negocio confirma precio y stock; recién ahí publicable=true."
"fanta-naranja-2250ml","Gaseosas","Fanta","Fanta Naranja","Botella PET · 2,25 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/gaseosa-naranja-2-25-lts-fanta/p","El negocio confirma precio y stock; recién ahí publicable=true."
"pepsi-black-1500ml","Gaseosas","Pepsi","Pepsi Black","Botella PET · 1,5 L · Unidad","price","Precio no confirmado por el negocio. Identidad e imagen verificadas; el registro entra a la góndola como ""Precio próximamente"" y no es comprable.","https://www.jumbo.com.ar/gaseosa-pepsi-black-1-5lt/p","El negocio confirma precio y stock; recién ahí publicable=true."
