sku,rights_status,rights_evidence_type,rights_evidence_url,rights_evidence_file,rights_evidence_date,rights_scope,rights_notes,verified_by,verified_at
"sprite-sin-azucar-600ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"fanta-naranja-2250ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"pepsi-black-1500ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"schweppes-pomelo-sin-azucar-2250ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"schweppes-ginger-ale-310ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"paso-de-los-toros-pomelo-1500ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"paso-de-los-toros-tonica-1500ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"soda-ivess-1500ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"britvic-ginger-beer-200ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"villavicencio-sin-gas-500ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"eco-de-los-andes-sin-gas-2000ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"glaciar-sin-gas-1500ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"glaciar-con-gas-1500ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"h2oh-limon-1500ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"red-bull-energy-drink-355ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"monster-mango-loco-473ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"speed-zero-473ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"gatorade-zero-fresa-kiwi-400ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"powerade-mountain-blast-995ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"buhero-negro-450ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"cinzano-rosso-950ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"campari-bitter-750ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"aperol-750ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"quilmes-clasica-710ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"patagonia-lager-del-sur-730ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"heineken-710ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"stella-artois-sin-alcohol-330ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"corona-extra-330ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"imperial-golden-473ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"brahma-chopp-1000ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"amstel-lager-473ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"rutini-malbec-750ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"trapiche-reserva-malbec-750ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"fin-del-mundo-cabernet-franc-750ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"chandon-delice-750ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"tanqueray-dry-700ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
"bombay-sapphire-750ml","pending_review","","","","","","Fuente comercial secundaria; autorización comercial no concedida.","",""
