product_name,brand,variant,presentation,capacity,pack_count,category,source_url,image_source_url,source_domain,source_title,source_type,retrieved_at,commercial_status,identity_status,rights_status,notes,sha256
"Sprite","Sprite","Sin azúcar","Botella PET · 600 ml · Unidad","600","1","gaseosas","https://www.jumbo.com.ar/gaseosa-zero-lima-limon-600-ml-sprite/p","https://jumboargentina.vtexassets.com/arquivos/ids/881688/Gaseosa-Zero-Lima-Lim-n-600-Ml-Sprite-2-1040313.jpg?v=638919057897470000","jumbo.com.ar","Gaseosa Zero Sabor Lima Limón 600 Ml Sprite - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","d059b3d12169848587a8772c2c7a88ea67fe63facf2181532c3d9a5c5daf2828"
"Fanta Naranja","Fanta","Naranja","Botella PET · 2,25 L · Unidad","2250","1","gaseosas","https://www.jumbo.com.ar/gaseosa-naranja-2-25-lts-fanta/p","https://jumboargentina.vtexassets.com/arquivos/ids/893206/Gaseosa-Naranja-2-25-Lts-Fanta-2-248227.jpg?v=639009777706070000","jumbo.com.ar","Gaseosa Sabor Naranja 2,25 Lts Fanta - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","b2540cb81b9d77dddceb4824c307b23542e98036411a445a21630f5d687254fc"
"Pepsi Black","Pepsi","Sin azúcar","Botella PET · 1,5 L · Unidad","1500","1","gaseosas","https://www.jumbo.com.ar/gaseosa-pepsi-black-1-5lt/p","https://jumboargentina.vtexassets.com/arquivos/ids/907119/Gaseosa-Pepsi-Black-1-5lt-1-237512.jpg?v=639124043883700000","jumbo.com.ar","Gaseosa Cola Black Sin Azúcar 1.5 Lts Pepsi - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","3bb830d4ae94b5861b0ec93da7f3a567bc188afb957188ec43ff45633e286175"
"Schweppes Pomelo","Schweppes","Sin azúcar","Botella PET · 2,25 L · Unidad","2250","1","mixers","https://www.jumbo.com.ar/gaseosa-schweppes-pomelo-zero-2-25lt/p","https://jumboargentina.vtexassets.com/arquivos/ids/795703/Gaseosa-Schweppes-Pomelo-Sin-Az-cares-Bot-2-25-L-Gaseosa-Schweppes-Sin-Az-car-Pomelo-2l-2-17444.jpg?v=638312637649830000","jumbo.com.ar","Gaseosa Sin Azúcar Sabor Pomelo 2.25 Lts Schweppes - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","567376cc630171200601b285123a6dc77ca579ff6e4b1c60723b1e96be81a473"
"Schweppes Ginger Ale","Schweppes","Ginger ale","Lata · 310 ml · Unidad","310","1","mixers","https://www.jumbo.com.ar/gaseosa-ginger-ale-310-ml-schweppes/p","https://jumboargentina.vtexassets.com/arquivos/ids/881660/Gaseosa-Schweppes-Ginger-Ale-310-Cc-2-1011093.jpg?v=638919057777500000","jumbo.com.ar","Gaseosa Ginger Ale 310 Ml Schweppes - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","66085b2c2b19538179dd535458121eab832af419f931a5c7a993bc95cf0d6ea5"
"Paso de los Toros Pomelo","Paso de los Toros","Pomelo","Botella PET · 1,5 L · Unidad","1500","1","mixers","https://www.jumbo.com.ar/gaseosa-paso-de-los-toros-pomelo-botella-1-5ltx1/p","https://jumboargentina.vtexassets.com/arquivos/ids/907124/Gaseosa-Paso-De-Los-Toros-Pomelo-Botella-1-5ltx1-1-248189.jpg?v=639124043903800000","jumbo.com.ar","Gaseosa Sabor Pomelo 1.5 Lts Paso de los Toros - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","b03dc8c1df125a5ef02cd32f9b0f731c054f249c5c9769302e8e1878742f352c"
"Paso de los Toros Tónica","Paso de los Toros","Tónica","Botella PET · 1,5 L · Unidad","1500","1","mixers","https://www.jumbo.com.ar/gaseosa-paso-de-los-toros-tonica-botella-1-5ltx1/p","https://jumboargentina.vtexassets.com/arquivos/ids/907118/Gaseosa-Paso-De-Los-Toros-T-nica-Botella-1-5ltx1-1-17223.jpg?v=639124043880030000","jumbo.com.ar","Gaseosa Agua Tónica 1.5 Lts Paso de los Toros - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","95e01fc6555de50588d4d58e17664f45285b7e8ec4a15852c57db6450c0d4754"
"Soda Ivess","Ivess","Soda","Sifón · 1,5 L · Unidad","1500","1","mixers","https://www.jumbo.com.ar/soda-ivess-1-5-l/p","https://jumboargentina.vtexassets.com/arquivos/ids/414473/Sada-Ivess-15-L-1-240495.jpg?v=636442100707630000","jumbo.com.ar","SODA IVESS 1,5 L - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","ed015022ab4bd24bc2610ab8e1c23707956a2582f405ed84bdcbc78d3d21d64b"
"Britvic Ginger Beer","Britvic","Ginger beer","Botella · 200 ml · Unidad","200","1","mixers","https://www.jumbo.com.ar/bebida-ginger-beer-britvic-botella-200-ml/p","https://jumboargentina.vtexassets.com/arquivos/ids/602421/Bebida-Ginger-Beer-Britvic-200-1-849372.jpg?v=637354354652300000","jumbo.com.ar","Gaseosa Sabor Ginger Beer 200 Ml Britvic - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","b7aae02313f29a838d861e1253bc9dbec5048b62bb94d3b575f8ef30e44792d3"
"Villavicencio","Villavicencio","Sin gas","Botella PET · 500 ml · Unidad","500","1","aguas","https://www.jumbo.com.ar/agua-sin-gas-villavicencio-500-ml/p","https://jumboargentina.vtexassets.com/arquivos/ids/795828/Agua-Villavicencio-Sin-Gas-500cc-1-997464.jpg?v=638313501973800000","jumbo.com.ar","Agua Mineral Sin Gas 500 Ml Villavicencio - Jumbo","cadena_comercial_secundaria","2026-08-02T20:05:26.934Z","identity_verified_price_pending","approved","pending_review","Identidad y packshot revisados contra ficha de cadena comercial. Derechos de publicación pendientes; precio pendiente por diseño; no comprable.","85446b91105baa90e2bc83862738e17c164ec8307198fb916a6e4e0494bc651a"
