sku,producto,categoria,alcohol,precio,stock,publicar,notas
bonaqua-sin-gas-2250ml-local,"Bonaqua Sin gas · Botella PET · 2,25 L · Unidad",Aguas,no,,,,
eco-de-los-andes-sin-gas-2000ml,Eco de los Andes Sin gas · Botella PET · 2 L · Unidad,Aguas,no,,,,
glaciar-con-gas-1500ml,"Glaciar Con gas, baja en sodio · Botella PET · 1,5 L · Unidad",Aguas,no,,,,
glaciar-sin-gas-1500ml,"Glaciar Sin gas, baja en sodio · Botella PET · 1,5 L · Unidad",Aguas,no,,,,
villavicencio-sin-gas-500ml,Villavicencio Sin gas · Botella PET · 500 ml · Unidad,Aguas,no,,,,
aquarius-pera-2200ml,"Aquarius Pera · Botella PET · 2,2 L · Unidad",Aguas saborizadas,no,,,,
h2oh-limon-1500ml,"H2OH! Limón · Botella PET · 1,5 L · Unidad",Aguas saborizadas,no,,,,
levite-manzana-2250ml,"Levité Manzana · Botella PET · 2,25 L · Unidad",Aguas saborizadas,no,,,,
levite-manzana-2250ml-local,"Levité Manzana · Botella PET · 2,25 L · Unidad",Aguas saborizadas,no,,,,
aperol-750ml,Aperol Original · Botella · 750 ml · Unidad,Aperitivos,si,,,,
campari-bitter-750ml,Campari Bitter · Botella · 750 ml · Unidad,Aperitivos,si,,,,
cinzano-rosso-950ml,Cinzano Rosso · Botella · 950 ml · Unidad,Aperitivos,si,,,,
gancia-americano-950ml-local,Gancia Americano · Botella · 950 ml · Unidad,Aperitivos,si,,,,
gancia-americano-950ml,Gancia Americano y limón · Botella · 950 ml · Unidad,Aperitivos,si,,,,
martini-bianco-1000ml,Martini Bianco · Botella · 1 L · Unidad,Aperitivos,si,,,,
martini-bianco-1000ml-local,Martini Bianco · Botella · 1 L · Unidad,Aperitivos,si,,,,
amstel-lager-473ml,Amstel Lager · Lata · 473 ml · Unidad,Cervezas,si,,,,
brahma-chopp-1000ml,Brahma Chopp Rubia · Botella retornable · 1 L · Unidad,Cervezas,si,,,,
budweiser-lata-473ml-pack-6-local,Budweiser Lager · Lata · 473 ml · Pack x6,Cervezas,si,,,,
corona-extra-botella-330ml,Corona Extra · Botella · 330 ml · Unidad,Cervezas,si,3600,,,
corona-extra-330ml,Corona Extra Lager · Botella · 330 ml · Unidad,Cervezas,si,,,,
heineken-710ml,Heineken Lager · Lata · 710 ml · Unidad,Cervezas,si,,,,
heineken-original-lata-473ml,Heineken Original · Lata · 473 ml · Unidad,Cervezas,si,3900,,,
imperial-apa-lata-473ml,Imperial APA · Lata · 473 ml · Unidad,Cervezas,si,3000,,,
imperial-cream-stout-lata-473ml,Imperial Cream Stout · Lata · 473 ml · Unidad,Cervezas,si,3000,,,
imperial-extra-lager-lata-473ml,Imperial Extra Lager · Lata · 473 ml · Unidad,Cervezas,si,3000,,,
imperial-golden-lata-473ml,Imperial Golden · Lata · 473 ml · Unidad,Cervezas,si,3000,,,
imperial-golden-473ml,Imperial Golden · Lata · 473 ml · Unidad,Cervezas,si,,,,
patagonia-lager-del-sur-730ml,Patagonia Lager del Sur · Botella · 730 ml · Unidad,Cervezas,si,,,,
quilmes-clasica-710ml,Quilmes Clásica Lager · Lata · 710 ml · Unidad,Cervezas,si,,,,
schneider-rubia-lata-710ml,Schneider Rubia · Lata · 710 ml · Unidad,Cervezas,si,3500,,,
stella-artois-sin-alcohol-330ml,Stella Artois Sin alcohol · Botella · 330 ml · Unidad,Cervezas,no,,,,
bombay-sapphire-750ml,Bombay Sapphire London Dry · Botella · 750 ml · Unidad,Destilados,si,,,,
bosque-nativo-500ml,Bosque Nativo · Botella · 500 ml · Unidad,Destilados,si,,,,
