sku,identity_status,image_status,rights_status,price_status,catalog_status,publication_status,ready,reason
"coca-cola-original-pet-500ml-pack-12","","","","confirmed","review_only","","false","Derechos pendientes"
"coca-cola-zero-pet-500ml-pack-12","","","","confirmed","review_only","","false","Derechos pendientes"
"sprite-original-pet-500ml-pack-12","","","","confirmed","review_only","","false","Derechos pendientes"
"coca-cola-original-pet-1500ml-pack-6","","","","confirmed","review_only","","false","Derechos pendientes"
"coca-cola-zero-pet-1500ml-pack-6","","","","confirmed","review_only","","false","Derechos pendientes"
"sprite-original-pet-1500ml-pack-6","","","","confirmed","review_only","","false","Derechos pendientes"
"fanta-naranja-pet-1500ml-pack-6","","","","confirmed","review_only","","false","Derechos pendientes"
"schweppes-tonica-pet-1500ml-pack-6","","","","confirmed","review_only","","false","Derechos pendientes"
"schweppes-citrus-pet-1500ml-pack-6","","","","confirmed","review_only","","false","Derechos pendientes"
"red-bull-original-lata-250ml","","","","confirmed","review_only","","false","Derechos pendientes"
"red-bull-original-lata-250ml-pack-4","","","","pending","review_only","","false","Derechos pendientes"
"speed-original-lata-473ml","","","","confirmed","review_only","","false","Derechos pendientes"
"speed-zero-lata-473ml","","","","confirmed","review_only","","false","Derechos pendientes"
"monster-mango-loco-lata-473ml","","","","confirmed","review_only","","false","Derechos pendientes"
"heineken-original-lata-473ml","","","","confirmed","review_only","","false","Derechos pendientes"
"heineken-original-lata-473ml-pack-6","","","","rejected","rejected","blocked","false","Derechos pendientes"
"imperial-golden-lata-473ml","","","","confirmed","review_only","","false","Derechos pendientes"
"imperial-extra-lager-lata-473ml","","","","confirmed","review_only","","false","Derechos pendientes"
"imperial-apa-lata-473ml","","","","confirmed","review_only","","false","Derechos pendientes"
"imperial-cream-stout-lata-473ml","","","","confirmed","review_only","","false","Derechos pendientes"
"schneider-rubia-lata-710ml","","","","confirmed","review_only","","false","Derechos pendientes"
"corona-extra-botella-330ml","","","","confirmed","review_only","","false","Derechos pendientes"
"coca-cola-original-2250ml","approved","rejected","pending_review","pending","review_only","blocked","false","Derechos pendientes"
"coca-cola-sin-azucar-2250ml","approved","rejected","pending_review","pending","review_only","blocked","false","Derechos pendientes"
"sprite-sin-azucar-600ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"fanta-naranja-2250ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"pepsi-black-1500ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"schweppes-tonica-354ml","approved","rejected","pending_review","pending","review_only","blocked","false","Derechos pendientes"
"schweppes-pomelo-sin-azucar-2250ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"schweppes-ginger-ale-310ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"paso-de-los-toros-pomelo-1500ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"paso-de-los-toros-tonica-1500ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"soda-ivess-1500ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"britvic-ginger-beer-200ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"villavicencio-sin-gas-500ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"eco-de-los-andes-sin-gas-2000ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"glaciar-sin-gas-1500ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"glaciar-con-gas-1500ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"levite-manzana-2250ml","approved","rejected","pending_review","pending","review_only","blocked","false","Derechos pendientes"
"aquarius-pera-2200ml","approved","rejected","pending_review","pending","review_only","blocked","false","Derechos pendientes"
"h2oh-limon-1500ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"red-bull-energy-drink-355ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"monster-mango-loco-473ml","verified","verified","pending_review","pending","approved","blocked","false","Derechos pendientes"
"monster-ultra-473ml","approved","rejected","pending_review","pending","review_only","blocked","false","Derechos pendientes"
