sku,asset,reason
"heineken-original-lata-473ml","assets/catalog/beverages/heineken-original-lata-473ml/product.webp","Colisión SHA-256 con: heineken-original-lata-473ml-pack-6."
"heineken-original-lata-473ml-pack-6","assets/catalog/beverages/heineken-original-lata-473ml-pack-6/product.webp","Colisión SHA-256 con: heineken-original-lata-473ml."
"","cervezas/Schneider 1 L/imagen-principal.jpg","Archivo duplicado por SHA-256."
"","cervezas/Schneider 1 L/imagen-secundaria.jpg","Archivo duplicado por SHA-256."
"","gaseosas/Manaos Multifruta 2.25 L/imagen-principal.jpg","Archivo duplicado por SHA-256."
"","gaseosas/Manaos Naranja 2.25 L/imagen-principal.jpg","Archivo duplicado por SHA-256."
"","gaseosas/Manaos Pomelo 2.25 L/imagen-principal.jpg","Archivo duplicado por SHA-256."
"","gaseosas/Mirinda Naranja 1.5 L/imagen-principal.jpg","Archivo duplicado por SHA-256."
"","gaseosas/Mirinda Pomelo 2.25 L/imagen-principal.jpg","Archivo duplicado por SHA-256."
"","gaseosas/Paso de los Toros T-nica 1.5 L/imagen-principal.jpg","Archivo duplicado por SHA-256."
"","gaseosas/Schweppes T-nica 1.5 L/imagen-principal.jpg","Archivo duplicado por SHA-256."
"","gaseosas/Sprite 2.25 L/imagen-principal.jpg","Archivo duplicado por SHA-256."
"","vinos/Norton 750 ml/imagen-principal.jpg","Archivo duplicado por SHA-256."
"","vinos/Norton 750 ml/imagen-secundaria.jpg","Archivo duplicado por SHA-256."
