sku,catalog_status,image_status,rights_status,price_status,publication_status,priority
"coca-cola-original-pet-500ml-pack-12","review_only","candidate","pending_review","confirmed","blocked","legacy"
"coca-cola-zero-pet-500ml-pack-12","review_only","candidate","pending_review","confirmed","blocked","legacy"
"sprite-original-pet-500ml-pack-12","review_only","candidate","pending_review","confirmed","blocked","legacy"
"coca-cola-original-pet-1500ml-pack-6","review_only","candidate","pending_review","confirmed","blocked","legacy"
"coca-cola-zero-pet-1500ml-pack-6","review_only","candidate","pending_review","confirmed","blocked","legacy"
"sprite-original-pet-1500ml-pack-6","review_only","candidate","pending_review","confirmed","blocked","legacy"
"fanta-naranja-pet-1500ml-pack-6","review_only","candidate","pending_review","confirmed","blocked","legacy"
"schweppes-tonica-pet-1500ml-pack-6","review_only","candidate","pending_review","confirmed","blocked","legacy"
"schweppes-citrus-pet-1500ml-pack-6","review_only","candidate","pending_review","confirmed","blocked","legacy"
"red-bull-original-lata-250ml","review_only","candidate","pending_review","confirmed","blocked","legacy"
"red-bull-original-lata-250ml-pack-4","review_only","candidate","pending_review","pending","blocked","legacy"
"speed-original-lata-473ml","review_only","candidate","pending_review","confirmed","blocked","legacy"
"speed-zero-lata-473ml","review_only","candidate","pending_review","confirmed","blocked","legacy"
"monster-mango-loco-lata-473ml","review_only","candidate","pending_review","confirmed","blocked","legacy"
"heineken-original-lata-473ml","review_only","candidate","pending_review","confirmed","blocked","legacy"
"imperial-golden-lata-473ml","review_only","candidate","pending_review","confirmed","blocked","legacy"
"imperial-extra-lager-lata-473ml","review_only","candidate","pending_review","confirmed","blocked","legacy"
"imperial-apa-lata-473ml","review_only","candidate","pending_review","confirmed","blocked","legacy"
"imperial-cream-stout-lata-473ml","review_only","candidate","pending_review","confirmed","blocked","legacy"
"schneider-rubia-lata-710ml","review_only","candidate","pending_review","confirmed","blocked","legacy"
"corona-extra-botella-330ml","review_only","candidate","pending_review","confirmed","blocked","legacy"
"coca-cola-original-2250ml","review_only","rejected","pending_review","pending","blocked","P0"
"coca-cola-sin-azucar-2250ml","review_only","rejected","pending_review","pending","blocked","P0"
"sprite-sin-azucar-600ml","approved","verified","pending_review","pending","blocked","P0"
"fanta-naranja-2250ml","approved","verified","pending_review","pending","blocked","P0"
"pepsi-black-1500ml","approved","verified","pending_review","pending","blocked","P0"
"schweppes-tonica-354ml","review_only","rejected","pending_review","pending","blocked","P0"
"schweppes-pomelo-sin-azucar-2250ml","approved","verified","pending_review","pending","blocked","P0"
"schweppes-ginger-ale-310ml","approved","verified","pending_review","pending","blocked","P0"
"paso-de-los-toros-pomelo-1500ml","approved","verified","pending_review","pending","blocked","P0"
"paso-de-los-toros-tonica-1500ml","approved","verified","pending_review","pending","blocked","P0"
"soda-ivess-1500ml","approved","verified","pending_review","pending","blocked","P0"
"britvic-ginger-beer-200ml","approved","verified","pending_review","pending","blocked","P0"
"villavicencio-sin-gas-500ml","approved","verified","pending_review","pending","blocked","P0"
"eco-de-los-andes-sin-gas-2000ml","approved","verified","pending_review","pending","blocked","P0"
"glaciar-sin-gas-1500ml","approved","verified","pending_review","pending","blocked","P0"
"glaciar-con-gas-1500ml","approved","verified","pending_review","pending","blocked","P0"
"levite-manzana-2250ml","review_only","rejected","pending_review","pending","blocked","P0"
"aquarius-pera-2200ml","review_only","rejected","pending_review","pending","blocked","P0"
"h2oh-limon-1500ml","approved","verified","pending_review","pending","blocked","P0"
"red-bull-energy-drink-355ml","approved","verified","pending_review","pending","blocked","P0"
"monster-mango-loco-473ml","approved","verified","pending_review","pending","blocked","P0"
"monster-ultra-473ml","review_only","rejected","pending_review","pending","blocked","P0"
"speed-zero-473ml","approved","verified","pending_review","pending","blocked","P0"
"gatorade-zero-fresa-kiwi-400ml","approved","verified","pending_review","pending","blocked","P0"
"powerade-mountain-blast-995ml","approved","verified","pending_review","pending","blocked","P0"
"brancamenta-450ml","review_only","rejected","pending_review","pending","blocked","P0"
"buhero-negro-450ml","approved","verified","pending_review","pending","blocked","P0"
"gancia-americano-950ml","review_only","rejected","pending_review","pending","blocked","P0"
"cinzano-rosso-950ml","approved","verified","pending_review","pending","blocked","P0"
"campari-bitter-750ml","approved","verified","pending_review","pending","blocked","P0"
"aperol-750ml","approved","verified","pending_review","pending","blocked","P0"
"martini-bianco-1000ml","review_only","rejected","pending_review","pending","blocked","P0"
"quilmes-clasica-710ml","approved","verified","pending_review","pending","blocked","P0"
"patagonia-lager-del-sur-730ml","approved","verified","pending_review","pending","blocked","P0"
"heineken-710ml","approved","verified","pending_review","pending","blocked","P0"
"stella-artois-sin-alcohol-330ml","approved","verified","pending_review","pending","blocked","P0"
