external_id,sku,source_url,source_type,rights_status,rights_reference,expected_sha256,variant_verified,capacity_verified,package_verified,pack_verified,status,checked_at,notes
qa-coca-cola-original-15l,qa-coca-cola-original-15l,https://andinacocacolaar.vtexassets.com/arquivos/ids/156459/100413.png?v=639063398965800000,distribuidor_oficial,APROBADOS,preview-privado-taba-2026-07-26,03ca39878bc428d8933018f5ef3cc6bc7af2842b7ac48b3237b4603f62abccfe,true,true,true,true,APROBADA,2026-07-26,"Producto Coca-Cola Original 1.5 L x6; pagina oficial https://tienda.coca-cola.com.ar/coca-cola-original-1-5l-6-100413/p; preview privado."
qa-sprite-15l,qa-sprite-15l,https://andinacocacolaar.vtexassets.com/arquivos/ids/155756/7790895000447.jpg?v=638290010972070000,distribuidor_oficial,APROBADOS,preview-privado-taba-2026-07-26,7df7ddd6b1da800aa31102b3856e2372b73354d966e1164ab07be7d39170ffa4,true,true,true,true,APROBADA,2026-07-26,"Producto Sprite 1.5 L x6; pagina oficial https://tienda.coca-cola.com.ar/sprite-1-5l-6-7790895000447/p; preview privado."
qa-fanta-naranja-15l,qa-fanta-naranja-15l,https://andinacocacolaar.vtexassets.com/arquivos/ids/156347/101113.jpg?v=638857652534800000,distribuidor_oficial,APROBADOS,preview-privado-taba-2026-07-26,8a49eddb5f26bdbad98fb14085c221a37432f21a884ce4808358180987f29512,true,true,true,true,APROBADA,2026-07-26,"Producto Fanta Naranja 1.5 L x6; pagina oficial https://tienda.coca-cola.com.ar/fanta-naranja-1-5l-6-7790895000454/p; preview privado."
qa-monster-green-473ml,qa-monster-green-473ml,https://andinacocacolaar.vtexassets.com/arquivos/ids/156317/100361.jpg.jpg?v=638755960749600000,distribuidor_oficial,APROBADOS,preview-privado-taba-2026-07-26,e5b6f2ac71232f0d344857c5c1402ada7d2f3ba74fadef232efb36d91cf4ba0a,true,true,true,true,APROBADA,2026-07-26,"Producto Monster Energy Original Green 473 ml x6; pagina oficial https://tienda.coca-cola.com.ar/monster-green-473ml-x6/p; Foto 1; preview privado."
qa-monster-mango-loco-473ml,qa-monster-mango-loco-473ml,https://andinacocacolaar.vtexassets.com/arquivos/ids/156319/100363.jpg.jpg?v=638756819353130000,distribuidor_oficial,APROBADOS,preview-privado-taba-2026-07-26,8bf759c3734621d31788803e42272d27f9e3cdb658148ce0add38f063caa8b52,true,true,true,true,APROBADA,2026-07-26,"Producto Monster Energy Mango Loco 473 ml x6; pagina oficial https://tienda.coca-cola.com.ar/monster-mango-loco-473x6/p; Foto 1; preview privado."
qa-monster-ultra-white-zero-473ml,qa-monster-ultra-white-zero-473ml,https://andinacocacolaar.vtexassets.com/arquivos/ids/156318/100362.jpg.jpg?v=638756814979570000,distribuidor_oficial,APROBADOS,preview-privado-taba-2026-07-26,45b4a11cd727948f2ffc4ebda4f31e3cf39e1284c8c7c1194e028d87f4a3f856,true,true,true,true,APROBADA,2026-07-26,"Producto Monster Energy Ultra White Zero 473 ml x6; pagina oficial https://tienda.coca-cola.com.ar/monster-ultra-white-zero-473ml-x6/p; Foto 1; preview privado."
qa-monster-peachy-keen-473ml,qa-monster-peachy-keen-473ml,https://andinacocacolaar.vtexassets.com/arquivos/ids/156483/Monster-Peachy-Keen-Producto-web-1080x1080-20260220-131641.jpg?v=639071945686270000,distribuidor_oficial,APROBADOS,preview-privado-taba-2026-07-26,d61d53a53fdb0edacfb5fc301a4ceb966d81fc9d361392a4707cf21c3b682cd8,true,true,true,true,APROBADA,2026-07-26,"Producto Monster Energy Ultra Peachy Keen 473 ml x6; pagina oficial https://tienda.coca-cola.com.ar/monster-peachy-keen-473ml-x6-100371/p; preview privado."
qa-monster-pipeline-punch-473ml,qa-monster-pipeline-punch-473ml,https://andinacocacolaar.vtexassets.com/arquivos/ids/156343/44.jpg?v=638844663865370000,distribuidor_oficial,APROBADOS,preview-privado-taba-2026-07-26,8475e3954af555297afdf5b2ffdb69e31bc90f07cd7527b56d7d939c4a58a7a7,true,true,true,true,APROBADA,2026-07-26,"Producto Monster Energy Pipeline Punch 473 ml x6; pagina oficial https://tienda.coca-cola.com.ar/monster-pipeline-punch-473x6-100370/p; Foto 1; preview privado."
qa-pepsi-original-15l,qa-pepsi-original-15l,https://taba.local/review/qa-pepsi-original-15l,marca,PENDIENTE_DERECHOS,review,0,false,false,false,false,REVISAR_DATOS,2026-07-26,"Foto 7 confirma Pepsi pero no cierra capacidad y variante de la unidad."
qa-heineken-original-473ml,qa-heineken-original-473ml,https://taba.local/review/qa-heineken-original-473ml,marca,PENDIENTE_DERECHOS,review,0,false,false,false,false,REVISAR_DATOS,2026-07-26,"Fotos 8 y 9 confirman Heineken; falta fuente de imagen aprobada."
qa-imperial-extra-lager-473ml,qa-imperial-extra-lager-473ml,https://taba.local/review/qa-imperial-extra-lager-473ml,marca,PENDIENTE_DERECHOS,review,0,false,false,false,false,REVISAR_DATOS,2026-07-26,"Fotos 8 y 9 confirman Imperial Extra Lager; falta fuente aprobada."
qa-villavicencio-sin-gas-500ml,qa-villavicencio-sin-gas-500ml,https://taba.local/review/qa-villavicencio-sin-gas-500ml,marca,PENDIENTE_DERECHOS,review,0,false,false,false,false,REVISAR_DATOS,2026-07-26,"Foto 8 muestra Villavicencio y cartel de 500 ml; falta fuente aprobada."
qa-corona-extra-355ml,qa-corona-extra-355ml,https://taba.local/review/qa-corona-extra-355ml,marca,PENDIENTE_DERECHOS,review,0,false,false,false,false,REVISAR_DATOS,2026-07-26,"Fotos 3 y 7 muestran Corona Extra; capacidad y derechos no quedan cerrados."
qa-hendricks-gin-700ml,qa-hendricks-gin-700ml,https://taba.local/review/qa-hendricks-gin-700ml,marca,PENDIENTE_DERECHOS,review,0,false,false,false,false,REVISAR_DATOS,2026-07-26,"Foto 10 muestra Hendrick's Gin; capacidad y derechos no quedan cerrados."
