sku,nombre,marca,variante,capacidad,envase,presentacion,unidadOPack,gtin,disponible,imageUrlActual,tipoActual,imageUrlPreparada,tipoPreparado,fuente,sourceType
andes-origen-roja-lata-473ml,Andes Origen Roja,Andes Origen,Roja,473 ml,lata,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
andes-origen-rubia-lata-473ml,Andes Origen Rubia,Andes Origen,Rubia,473 ml,lata,Unidad,UNIDAD,,false,,FALLBACK,assets/products/andes-origen-rubia-lata-473ml-3d8a469028220903-ebb8366205b970ca.webp,REAL,https://jumboargentina.vteximg.com.br/arquivos/ids/890518/Cerveza-Andes-Origen-Rubia-473cc-1-276781.jpg?v=638987206116200000,proveedor_aprobado
andes-origen-rubia-lata-473ml-pack-6,Andes Origen Rubia,Andes Origen,Rubia,473 ml,lata,Pack x6,PACK,7792798001712,false,,FALLBACK,assets/products/andes-origen-rubia-lata-473ml-pack-6-a3a2c031baea449b-0db23ccf72cf1c66.webp,REAL,https://jumboargentina.vteximg.com.br/arquivos/ids/890517/Cerveza-Andes-Origen-Rubia-473cc-6un-1-276612.jpg?v=638987206112600000,proveedor_aprobado
aquarius-manzana-1500ml,Aquarius Manzana,Aquarius,Manzana,1500 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/aquarius-manzana-1500ml-5a06bd9176e27828-d3c0af1d8c4494d9.webp,REAL,assets/products/aquarius-manzana-1500ml-5a06bd9176e27828-d3c0af1d8c4494d9.webp,REAL,https://coca-colaentucasa.com/media/catalog/product/a/q/aqu-manz-nor-pet-1.5l-6pz_1.jpg,fabricante
aquarius-pera-1500ml,Aquarius Pera,Aquarius,Pera,1500 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/aquarius-pera-1500ml-d8c1230b1227373f-2925d0553fe3f194.webp,REAL,assets/products/aquarius-pera-1500ml-d8c1230b1227373f-2925d0553fe3f194.webp,REAL,https://coca-colaentucasa.com/media/catalog/product/a/q/aqu-pera-nor-pet-1.5l-6pz_1.jpg,fabricante
aquarius-pomelo-2250ml,Aquarius Pomelo,Aquarius,Pomelo,2250 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/aquarius-pomelo-2250ml-8de7c8de5e780020-f788300784447191.webp,REAL,assets/products/aquarius-pomelo-2250ml-8de7c8de5e780020-f788300784447191.webp,REAL,https://coca-colaentucasa.com/media/catalog/product/a/q/aqu-pome-nor-pet-2.25l-6pz_1.jpg,fabricante
benedictino-sin-gas-2250ml,Benedictino,Benedictino,Sin gas,2250 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/benedictino-sin-gas-2250ml-8291602e84de68e9-b3100a865b922f28.webp,REAL,assets/products/benedictino-sin-gas-2250ml-8291602e84de68e9-b3100a865b922f28.webp,REAL,https://coca-colaentucasa.com/media/catalog/product/3/-/3-render_2.25l_bndsg.png,fabricante
brahma-chopp-lata-473ml-pack-6,Brahma Chopp,Brahma,Rubia,473 ml,lata,Pack x6,PACK,7792798005970,false,,FALLBACK,assets/products/brahma-chopp-lata-473ml-pack-6-a5d1d3f1effa3ac9-7b6e39ea51881c03.webp,REAL,https://jumboargentina.vteximg.com.br/arquivos/ids/890496/Cerveza-Brahma-Chopp-Lata-473mlx6-1-12428.jpg?v=639140703671670000,proveedor_aprobado
brahma-chopp-lata-710ml,Brahma Chopp,Brahma,Rubia,710 ml,lata,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
budweiser-lata-473ml,Budweiser,Budweiser,Lager,473 ml,lata,Unidad,UNIDAD,,false,,FALLBACK,assets/products/budweiser-lata-473ml-0144902daa7180f4-bcffb8575cad9ed1.webp,REAL,https://jumboargentina.vteximg.com.br/arquivos/ids/890497/Cerveza-Budweiser-Lata-473-Ml-1-17952.jpg?v=638987206039670000,proveedor_aprobado
budweiser-lata-473ml-pack-6,Budweiser,Budweiser,Lager,473 ml,lata,Pack x6,PACK,7793147118846,false,,FALLBACK,assets/products/budweiser-lata-473ml-pack-6-d4302164bca107fd-13c77365927c308a.webp,REAL,https://jumboargentina.vteximg.com.br/arquivos/ids/890508/Cerveza-Budweiser-473-Ml-X-6-Un-1-44476.jpg?v=639140701148100000,proveedor_aprobado
cafayate-torrontes-750ml,Cafayate Torrontés,Cafayate,Torrontés,750 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
cepita-durazno-pet-1500ml,Cepita Durazno,Cepita,Durazno,1500 ml,botella-pet,Unidad,UNIDAD,7790895641534,false,,FALLBACK,,FALLBACK,,
cepita-naranja-pet-1500ml,Cepita Naranja,Cepita,Naranja,1500 ml,botella-pet,Unidad,UNIDAD,7790895641800,false,,FALLBACK,,FALLBACK,,
coca-cola-original-2250ml,Coca-Cola,Coca-Cola,Original,2250 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/coca-cola-original-2250ml-97dc25e8399a5775-adb8042ea9716cb9.webp,REAL,assets/products/coca-cola-original-2250ml-97dc25e8399a5775-adb8042ea9716cb9.webp,REAL,https://coca-colaentucasa.com/media/catalog/product/6/-/6-render_2.25l_1.png,fabricante
coca-cola-original-botella-pet-500-ml-pack-x12,Coca-Cola Original,Coca-Cola,Botella PET · 500 ml · Pack x12,500 ml,Botella PET,Pack x12,PACK,,true,assets/products/coca-cola-original-botella-pet-500-ml-pack-x12-da9d9f1d872c1e49-75b52ee33dad073c.webp,REAL,assets/products/coca-cola-original-botella-pet-500-ml-pack-x12-da9d9f1d872c1e49-75b52ee33dad073c.webp,REAL,https://andinacocacolaar.vteximg.com.br/arquivos/ids/156458/100116.jpg?v=639063398326300000,fabricante
coca-cola-original-lata-354ml,Coca-Cola,Coca-Cola,Original,354 ml,lata,Unidad,UNIDAD,,true,assets/products/coca-cola-original-lata-354ml-3c2cefd7fe4bd597-f2cf7dff4b87047d.webp,REAL,assets/products/coca-cola-original-lata-354ml-3c2cefd7fe4bd597-f2cf7dff4b87047d.webp,REAL,https://jumboargentina.vtexassets.com/arquivos/ids/782827/Gaseosa-Coca-cola-Sabor-Original-354-Ml-2-32332.jpg?v=638206689782930000,proveedor_aprobado
