preview_id,source_fixture_id,brand,product_name,variant,capacity_value,capacity_unit,package_type,units_per_pack,category,evidence_from_photo,source_page_url,identity_status,rights_status,action,notes
qa-coca-cola-original-15l,qa-gaseosa-cola,Coca-Cola,Coca-Cola Original 1.5 L x6,Original,1.5,l,pack,6,Promos,"Foto 6 muestra Coca-Cola Original; fuente oficial confirma botella PET 1.5 L x6.",https://tienda.coca-cola.com.ar/coca-cola-original-1-5l-6-100413/p,EXACTA,APROBADOS,INTEGRAR,"La imagen oficial incluye distintivo x6 y se presenta como promo pack x6. Precio y stock permanecen QA."
qa-sprite-15l,qa-gaseosa-lima-limon,Sprite,Sprite 1.5 L x6,Sabor original,1.5,l,pack,6,Gaseosas,"Fotos 5 y 6 muestran Sprite; fuente oficial confirma botella PET 1.5 L x6.",https://tienda.coca-cola.com.ar/sprite-1-5l-6-7790895000447/p,EXACTA,APROBADOS,INTEGRAR,"La imagen oficial incluye distintivo x6 y se presenta como pack x6. Precio y stock permanecen QA."
qa-fanta-naranja-15l,qa-gaseosa-cola,Fanta,Fanta Naranja 1.5 L x6,Naranja,1.5,l,pack,6,Gaseosas,"Foto 6 muestra Fanta Naranja; fuente oficial confirma botella PET 1.5 L x6.",https://tienda.coca-cola.com.ar/fanta-naranja-1-5l-6-7790895000454/p,EXACTA,APROBADOS,INTEGRAR,"La imagen oficial incluye distintivo x6 y se presenta como pack x6. Precio y stock permanecen QA."
qa-monster-green-473ml,qa-energetica,Monster,Monster Energy Original Green 473 ml x6,Green,473,ml,pack,6,Energeticas,"Foto 1 muestra latas Monster; fuente oficial confirma Monster Green 473 ml x6.",https://tienda.coca-cola.com.ar/monster-green-473ml-x6/p,EXACTA,APROBADOS,INTEGRAR,"La imagen oficial incluye distintivo x6 y se presenta como pack x6."
qa-monster-mango-loco-473ml,qa-energetica,Monster,Monster Energy Mango Loco 473 ml x6,Mango Loco,473,ml,pack,6,Energeticas,"Foto 1 muestra latas Monster Juice; fuente oficial confirma Mango Loco 473 ml x6.",https://tienda.coca-cola.com.ar/monster-mango-loco-473ml-x6/p,EXACTA,APROBADOS,INTEGRAR,"La imagen oficial incluye distintivo x6 y se presenta como pack x6."
qa-monster-ultra-white-zero-473ml,qa-energetica,Monster,Monster Energy Ultra White Zero 473 ml x6,Ultra White Zero,473,ml,pack,6,Energeticas,"Foto 1 muestra una lata Monster Ultra clara; fuente oficial confirma Ultra White Zero 473 ml x6.",https://tienda.coca-cola.com.ar/monster-ultra-white-zero-473ml-x6/p,EXACTA,APROBADOS,INTEGRAR,"La imagen oficial incluye distintivo x6 y se presenta como pack x6."
qa-monster-peachy-keen-473ml,qa-energetica,Monster,Monster Energy Ultra Peachy Keen 473 ml x6,Peachy Keen,473,ml,pack,6,Energeticas,"Foto 1 muestra la familia Monster; fuente oficial confirma Ultra Peachy Keen 473 ml x6.",https://tienda.coca-cola.com.ar/monster-peachy-keen-473ml-x6-100371/p,EXACTA,APROBADOS,INTEGRAR,"La imagen oficial incluye distintivo x6 y se presenta como pack x6."
qa-monster-pipeline-punch-473ml,qa-energetica,Monster,Monster Energy Pipeline Punch 473 ml x6,Pipeline Punch,473,ml,pack,6,Energeticas,"Foto 1 muestra latas Monster Juice; fuente oficial confirma Pipeline Punch 473 ml x6.",https://tienda.coca-cola.com.ar/monster-pipeline-punch-473x6-100370/p,EXACTA,APROBADOS,INTEGRAR,"La imagen oficial incluye distintivo x6 y se presenta como pack x6."
qa-pepsi-original-15l,qa-gaseosa-lima-limon,Pepsi,Pepsi Original 1.5 L,Original,1.5,l,botella,1,Gaseosas,"Foto 7 muestra botellas Pepsi; la capacidad exacta de la unidad no es legible.",https://www.pepsi.com/products/pepsi,PARCIAL,PENDIENTE_DERECHOS,REVISAR,"No integrar hasta cerrar capacidad y fuente de imagen."
qa-heineken-original-473ml,qa-cerveza,Heineken,Heineken Original 473 ml,Original,473,ml,lata,1,Cervezas,"Fotos 8 y 9 muestran Heineken; cartel de 473 ml visible en Foto 9.",,PARCIAL,PENDIENTE_DERECHOS,REVISAR,"No hay asset aprobado."
qa-imperial-extra-lager-473ml,qa-cerveza,Imperial,Imperial Extra Lager 473 ml,Extra Lager,473,ml,lata,1,Cervezas,"Fotos 8 y 9 muestran Imperial Extra Lager; capacidad legible en cartel.",,PARCIAL,PENDIENTE_DERECHOS,REVISAR,"No hay asset aprobado."
qa-villavicencio-sin-gas-500ml,qa-agua-mineral,Villavicencio,Villavicencio Sin Gas 500 ml,Sin gas,500,ml,botella,1,Aguas,"Foto 8 muestra Villavicencio y cartel de 500 ml.",https://www.villavicencio.com.ar/nuestra-agua.html,PARCIAL,PENDIENTE_DERECHOS,REVISAR,"Falta fuente visual aprobada y trazabilidad de derechos."
qa-corona-extra-355ml,qa-cerveza,Corona,Corona Extra 355 ml,Extra,355,ml,botella,1,Cervezas,"Fotos 3 y 7 muestran Corona Extra; capacidad no legible.",,PARCIAL,PENDIENTE_DERECHOS,REVISAR,"No integrar hasta cerrar presentación exacta."
qa-hendricks-gin-700ml,qa-gin,Hendrick's,Hendrick's Gin 700 ml,Original,700,ml,botella,1,Gins y vodkas,"Foto 10 muestra Hendrick's Gin; capacidad no legible.",,PARCIAL,PENDIENTE_DERECHOS,REVISAR,"No integrar hasta cerrar capacidad y derechos de imagen."
